PAYMENT RECEIVED SUMMARY,,,,,,,
,, Total Claims Value , Total Received , Remaining ,,,
,," 33,703,483.63 "," 11,443,345.29 "," 22,260,138.34 ",,,
,,,,,,,
, Payment Claim & Reference , A Before VAT , B Retention , C VAT , D Sub Total , E WH Tax , F Grand Total 
Total Claim,  ,,  ,  , -   ,  ," 459,680.00 "
Received,,,,,,," 472,940.00 "
Remaining,,,,,,,"-13,260.00 "
,,,,,,,
"TEN YEARS AFTER AUDIO CO., LTD.", (1 Claims) ,  ,  ,  ,  ,  ,  
1, No. : 035-2-68 ," 1,013,265.56 ", -   ," 70,928.59 "," 1,084,194.15 ", -   ," 1,084,194.15 "
Total Claim,  ,,  ,  , -   ,  ," 1,084,194.15 "
Received,,,,,,," 1,084,194.15 "
Remaining,,,,,,, -   
,,,,,,,
"MASTERCRAFT CO., LTD.", (1 Claims) ,  ,  ,  ,  ,  ,  
1, MC-AL-001 ," 35,550.00 ", -   ," 2,488.50 "," 38,038.50 "," 1,066.50 "," 36,972.00 "
Total Claim,  ,,  ,  , -   ,  ," 36,972.00 "
Received,,,,,,, -   
Remaining,,,,,,," 36,972.00 "
,,,,,,,
